Model,Epsilon,Clean_Acc,Robust_Acc,Overall_ASR,Clean_Recall_V,Robust_Recall_V,ASR_V,Clean_Recall_F,Robust_Recall_F,Acc_after_APGD_CE,Acc_after_APGDT,Acc_after_FAB,Acc_after_Square
HMR-BiLSTM,0.02,0.7802256851155293,0.737775389575497,0.05440771349862259,0.9251320285803044,0.9061820441130786,0.02048354600402955,0.27835051546391754,0.14948453608247422,0.7389844169801182,0.737775389575497,0.737775389575497,0.737775389575497
HMR-BiLSTM,0.03,0.7802256851155293,0.7162815690488984,0.08195592286501377,0.9251320285803044,0.8887853370611991,0.03928811282740094,0.27835051546391754,0.1056701030927835,0.7173562600752283,0.7162815690488984,0.7162815690488984,0.7162815690488984
HMR-BiLSTM,0.05,0.7802256851155293,0.6718162278344976,0.13894628099173553,0.9251320285803044,0.8567878223050637,0.07387508394895903,0.27835051546391754,0.04896907216494845,0.6734282643739925,0.6718162278344976,0.6718162278344976,0.6718162278344976
No-Adv,0.02,0.7125201504567437,0.658113917248791,0.07635746606334842,0.9366262814538676,0.8881640260950606,0.051741293532338306,0.028350515463917526,0.01288659793814433,0.6587855991402471,0.658113917248791,0.658113917248791,0.658113917248791
No-Adv,0.03,0.7125201504567437,0.6354110693175712,0.10822021116138764,0.9366262814538676,0.8595837216526871,0.08225538971807629,0.028350515463917526,0.010309278350515464,0.6375604513702311,0.6355454056958625,0.6355454056958625,0.6354110693175712
No-Adv,0.05,0.7125201504567437,0.582348199892531,0.18269230769230768,0.9366262814538676,0.7955886921404163,0.1505804311774461,0.028350515463917526,0.005154639175257732,0.5886620096722193,0.5824825362708221,0.5824825362708221,0.582348199892531
Full HMR,0.02,0.7504030091348737,0.7106394411606664,0.052989616899391336,0.9344516930723827,0.9142590866728798,0.02160904255319149,0.7242268041237113,0.634020618556701,0.71104245029554,0.7106394411606664,0.7106394411606664,0.7106394411606664
Full HMR,0.03,0.7504030091348737,0.6871305749596991,0.08431793770139635,0.9344516930723827,0.9015222118670394,0.03523936170212766,0.7242268041237113,0.5463917525773195,0.6884739387426115,0.6872649113379903,0.6872649113379903,0.6871305749596991
Full HMR,0.05,0.7504030091348737,0.6423965609887158,0.1439312567132116,0.9344516930723827,0.8679714196955576,0.0711436170212766,0.7242268041237113,0.3943298969072165,0.6446802794196669,0.6426652337452983,0.6426652337452983,0.6423965609887158
